Source,Target,Weight,Type
cc_un15,cc_un22,3,undirected
cc_un16,cc_un03,3,undirected
cc_un16,cc_unfccc27,2,undirected
cc_un16,cc_unfccc31,1,undirected
cc_un17,cc_un01,6,undirected
cc_un17,cc_un03,1,undirected
cc_un17,cc_unfccc26,2,undirected
cc_un18,cc_un19,3,undirected
cc_un18,cc_un20,1,undirected
cc_un18,cc_un23,3,undirected
cc_un18,cc_un27,4,undirected
cc_un19,cc_un18,3,undirected
cc_un19,cc_un20,4,undirected
cc_un19,cc_un23,4,undirected
cc_un20,cc_un18,1,undirected
cc_un20,cc_un19,4,undirected
cc_un20,cc_un23,2,undirected
cc_un21,cc_un03,1,undirected
cc_un21,cc_un26,3,undirected
cc_un21,cc_unfccc31,2,undirected
cc_un22,cc_gt08,1,undirected
cc_un22,cc_un05,3,undirected
cc_un22,cc_un06,2,undirected
cc_un22,cc_un07,3,undirected
cc_un22,cc_un11,2,undirected
cc_un22,cc_un13,1,undirected
cc_un22,cc_un15,3,undirected
cc_un22,cc_un23,5,undirected
cc_un22,cc_un26,2,undirected
cc_un22,cc_un27,1,undirected
cc_un22,cc_unfccc01,3,undirected
cc_un22,cc_unfccc06,3,undirected
cc_un22,cc_unfccc19,1,undirected
cc_un22,cc_unfccc20,1,undirected
cc_un22,cc_unfccc22,4,undirected
cc_un22,cc_unfccc27,1,undirected
cc_un22,cc_unfccc30,2,undirected
cc_un22,cc_unfccc31,3,undirected
cc_un22,jfk_30,1,undirected
cc_un22,jfk_55,1,undirected
cc_un23,cc_un18,3,undirected
cc_un23,cc_un19,4,undirected
cc_un23,cc_un20,2,undirected
cc_un23,cc_un22,5,undirected
cc_un23,cc_un25,3,undirected
cc_un23,cc_un27,6,undirected
cc_un23,cc_un28,3,undirected
cc_un24,cc_un03,1,undirected
cc_un24,cc_unfccc26,2,undirected
cc_un24,cc_unfccc34,3,undirected
cc_un25,cc_un23,3,undirected
cc_un25,cc_un28,4,undirected
cc_un25,cc_unfccc22,1,undirected
cc_un26,cc_un21,3,undirected
cc_un26,cc_un22,2,undirected
cc_un26,cc_unfccc26,1,undirected
cc_un26,cc_unfccc33,2,undirected
cc_un26,cc_unfccc34,3,undirected
cc_un27,cc_un18,4,undirected
cc_un27,cc_un22,1,undirected
cc_un27,cc_un23,6,undirected
cc_un27,cc_un28,1,undirected
cc_un28,cc_un23,3,undirected
cc_un28,cc_un25,4,undirected
cc_un28,cc_un27,1,undirected
cc_unfccc01,cc_un12,1,undirected
cc_unfccc01,cc_un22,3,undirected
cc_unfccc01,cc_unfccc14,2,undirected
cc_unfccc02,cc_unfccc03,4,undirected
cc_unfccc02,cc_unfccc22,1,undirected
cc_unfccc02,wc_10,3,undirected
cc_unfccc03,cc_gt04,2,undirected
cc_unfccc03,cc_unfccc02,4,undirected
cc_unfccc03,cc_unfccc26,3,undirected
cc_unfccc03,jfk_85,1,undirected
cc_unfccc04,cc_unfccc07,1,undirected
cc_unfccc04,cc_unfccc21,2,undirected
cc_unfccc04,cc_unfccc26,3,undirected
cc_unfccc05,cc_unfccc22,1,undirected
cc_unfccc05,cc_unfccc26,2,undirected
cc_unfccc05,cc_unfccc31,3,undirected
cc_unfccc06,cc_un22,3,undirected
cc_unfccc06,cc_unfccc26,1,undirected
cc_unfccc06,cc_unfccc34,2,undirected
cc_unfccc07,cc_unfccc04,1,undirected
cc_unfccc07,cc_unfccc09,2,undirected
cc_unfccc07,cc_unfccc17,3,undirected
cc_unfccc07,cc_unfccc18,2,undirected
cc_unfccc07,cc_unfccc21,2,undirected
cc_unfccc07,cc_unfccc34,3,undirected
cc_unfccc07,cc_unfccc35,2,undirected
cc_unfccc08,cc_unfccc26,3,undirected
cc_unfccc08,cc_unfccc31,2,undirected
cc_unfccc08,cc_unfccc34,1,undirected
cc_unfccc09,cc_unfccc07,2,undirected
cc_unfccc09,cc_unfccc21,1,undirected
cc_unfccc09,cc_unfccc26,3,undirected
cc_unfccc10,cc_unfccc26,3,undirected
cc_unfccc10,cc_unfccc31,2,undirected
cc_unfccc10,cc_unfccc34,1,undirected
cc_unfccc11,cc_unfccc14,2,undirected
cc_unfccc11,cc_unfccc21,1,undirected
cc_unfccc11,cc_unfccc31,3,undirected
cc_unfccc12,cc_un03,2,undirected
cc_unfccc12,cc_unfccc26,3,undirected
cc_unfccc12,cc_unfccc27,1,undirected
cc_unfccc13,cc_unfccc16,3,undirected
cc_unfccc13,cc_unfccc21,2,undirected
cc_unfccc13,cc_unfccc34,1,undirected
cc_unfccc14,cc_unfccc01,2,undirected
cc_unfccc14,cc_unfccc11,2,undirected
cc_unfccc14,cc_unfccc15,1,undirected
cc_unfccc14,cc_unfccc21,3,undirected
cc_unfccc14,cc_unfccc31,1,undirected
cc_unfccc14,cc_unfccc34,2,undirected
cc_unfccc15,cc_un12,3,undirected
cc_unfccc15,cc_unfccc14,1,undirected
cc_unfccc15,cc_unfccc34,2,undirected
cc_unfccc16,cc_unfccc13,3,undirected
cc_unfccc16,cc_unfccc21,1,undirected
cc_unfccc16,cc_unfccc25,2,undirected
cc_unfccc16,cc_unfccc28,3,undirected
cc_unfccc16,cc_unfccc31,2,undirected
cc_unfccc16,cc_unfccc34,3,undirected
cc_unfccc17,cc_unfccc07,3,undirected
cc_unfccc17,cc_unfccc26,1,undirected
cc_unfccc17,cc_unfccc34,4,undirected
cc_unfccc18,cc_unfccc07,2,undirected
cc_unfccc18,cc_unfccc21,1,undirected
cc_unfccc18,cc_unfccc25,3,undirected
cc_unfccc18,cc_unfccc34,3,undirected
cc_unfccc19,cc_un22,1,undirected
cc_unfccc19,cc_unfccc21,2,undirected
cc_unfccc19,cc_unfccc25,1,undirected
cc_unfccc19,cc_unfccc31,5,undirected
cc_unfccc19,jfk_46,1,undirected
cc_unfccc20,cc_un22,1,undirected
cc_unfccc20,cc_unfccc21,2,undirected
cc_unfccc20,cc_unfccc26,5,undirected
cc_unfccc20,cc_unfccc30,3,undirected
cc_unfccc21,cc_unfccc04,2,undirected
cc_unfccc21,cc_unfccc07,2,undirected
cc_unfccc21,cc_unfccc09,1,undirected
cc_unfccc21,cc_unfccc11,1,undirected
cc_unfccc21,cc_unfccc13,2,undirected
cc_unfccc21,cc_unfccc14,3,undirected
cc_unfccc21,cc_unfccc16,1,undirected
cc_unfccc21,cc_unfccc18,1,undirected
cc_unfccc21,cc_unfccc19,2,undirected
cc_unfccc21,cc_unfccc20,2,undirected
cc_unfccc21,cc_unfccc26,4,undirected
cc_unfccc21,cc_unfccc32,3,undirected
cc_unfccc21,cc_unfccc34,6,undirected
cc_unfccc21,cc_unfccc35,5,undirected
cc_unfccc21,jfk_50,1,undirected
cc_unfccc21,jfk_65,2,undirected
cc_unfccc21,wc_12,3,undirected
cc_unfccc22,cc_un05,2,undirected
cc_unfccc22,cc_un22,4,undirected
cc_unfccc22,cc_un25,1,undirected
cc_unfccc22,cc_unfccc02,1,undirected
cc_unfccc22,cc_unfccc05,1,undirected
cc_unfccc22,cc_unfccc31,1,undirected
cc_unfccc22,cc_unfccc34,2,undirected
cc_unfccc23,cc_unfccc26,3,undirected
cc_unfccc23,cc_unfccc31,2,undirected
cc_unfccc23,cc_unfccc34,1,undirected
cc_unfccc24,cc_unfccc26,3,undirected
cc_unfccc24,cc_unfccc27,2,undirected
cc_unfccc24,cc_unfccc34,1,undirected
cc_unfccc25,cc_unfccc16,2,undirected
cc_unfccc25,cc_unfccc18,3,undirected
cc_unfccc25,cc_unfccc19,1,undirected
cc_unfccc26,cc_gt01,2,undirected
cc_unfccc26,cc_gt02,2,undirected
cc_unfccc26,cc_gt04,3,undirected
cc_unfccc26,cc_gt09,3,undirected
cc_unfccc26,cc_gt10,3,undirected
cc_unfccc26,cc_un01,1,undirected
cc_unfccc26,cc_un02,2,undirected
cc_unfccc26,cc_un03,2,undirected
cc_unfccc26,cc_un04,3,undirected
cc_unfccc26,cc_un05,1,undirected
cc_unfccc26,cc_un06,1,undirected
cc_unfccc26,cc_un12,3,undirected
cc_unfccc26,cc_un17,2,undirected
cc_unfccc26,cc_un24,2,undirected
cc_unfccc26,cc_un26,1,undirected
cc_unfccc26,cc_unfccc03,3,undirected
cc_unfccc26,cc_unfccc04,3,undirected
cc_unfccc26,cc_unfccc05,2,undirected
cc_unfccc26,cc_unfccc06,1,undirected
cc_unfccc26,cc_unfccc08,3,undirected
cc_unfccc26,cc_unfccc09,3,undirected
cc_unfccc26,cc_unfccc10,3,undirected
cc_unfccc26,cc_unfccc12,3,undirected
cc_unfccc26,cc_unfccc17,1,undirected
cc_unfccc26,cc_unfccc20,5,undirected
cc_unfccc26,cc_unfccc21,4,undirected
cc_unfccc26,cc_unfccc23,3,undirected
cc_unfccc26,cc_unfccc24,3,undirected
cc_unfccc26,cc_unfccc27,3,undirected
cc_unfccc26,cc_unfccc28,2,undirected
cc_unfccc26,cc_unfccc29,3,undirected
cc_unfccc26,cc_unfccc31,1,undirected
cc_unfccc26,cc_unfccc33,3,undirected
cc_unfccc26,jfk_01,1,undirected
cc_unfccc26,jfk_13,1,undirected
cc_unfccc26,jfk_21,2,undirected
cc_unfccc26,jfk_24,2,undirected
cc_unfccc26,jfk_34,3,undirected
cc_unfccc26,jfk_35,3,undirected
cc_unfccc26,jfk_39,1,undirected
cc_unfccc26,jfk_40,3,undirected
cc_unfccc26,jfk_41,2,undirected
cc_unfccc26,jfk_44,3,undirected
cc_unfccc26,jfk_48,3,undirected
cc_unfccc26,jfk_50,3,undirected
cc_unfccc26,jfk_58,3,undirected
cc_unfccc26,jfk_65,3,undirected
cc_unfccc26,jfk_81,3,undirected
cc_unfccc26,mt_02,3,undirected
cc_unfccc26,mt_03,2,undirected
cc_unfccc26,mt_06,1,undirected
cc_unfccc26,mt_10,3,undirected
cc_unfccc26,wc_12,1,undirected
cc_unfccc26,wc_23,3,undirected
cc_unfccc26,wc_33,1,undirected
cc_unfccc26,wc_34,1,undirected
cc_unfccc26,wc_35,3,undirected
cc_unfccc26,wc_41,3,undirected
cc_unfccc26,wc_42,3,undirected
cc_unfccc26,wc_50,3,undirected
cc_unfccc27,cc_un02,1,undirected
cc_unfccc27,cc_un16,2,undirected
cc_unfccc27,cc_un22,1,undirected
cc_unfccc27,cc_unfccc12,1,undirected
cc_unfccc27,cc_unfccc24,2,undirected
cc_unfccc27,cc_unfccc26,3,undirected
cc_unfccc27,cc_unfccc31,2,undirected
cc_unfccc28,cc_unfccc16,3,undirected
cc_unfccc28,cc_unfccc26,2,undirected
cc_unfccc28,cc_unfccc33,1,undirected
cc_unfccc29,cc_unfccc26,3,undirected
cc_unfccc29,cc_unfccc31,2,undirected
cc_unfccc29,cc_unfccc34,1,undirected
cc_unfccc29,jfk_41,1,undirected
cc_unfccc29,jfk_81,1,undirected
cc_unfccc30,cc_un22,2,undirected
cc_unfccc30,cc_unfccc20,3,undirected
cc_unfccc30,cc_unfccc31,1,undirected
cc_unfccc31,cc_un03,1,undirected
cc_unfccc31,cc_un16,1,undirected
cc_unfccc31,cc_un21,2,undirected
cc_unfccc31,cc_un22,3,undirected
cc_unfccc31,cc_unfccc05,3,undirected
cc_unfccc31,cc_unfccc08,2,undirected
cc_unfccc31,cc_unfccc10,2,undirected
cc_unfccc31,cc_unfccc11,3,undirected
cc_unfccc31,cc_unfccc14,1,undirected
cc_unfccc31,cc_unfccc16,2,undirected
cc_unfccc31,cc_unfccc19,5,undirected
cc_unfccc31,cc_unfccc22,1,undirected
cc_unfccc31,cc_unfccc23,2,undirected
cc_unfccc31,cc_unfccc26,1,undirected
cc_unfccc31,cc_unfccc27,2,undirected
cc_unfccc31,cc_unfccc29,2,undirected
cc_unfccc31,cc_unfccc30,1,undirected
cc_unfccc31,cc_unfccc32,1,undirected
cc_unfccc31,cc_unfccc34,5,undirected
cc_unfccc31,jfk_65,1,undirected
cc_unfccc32,cc_unfccc21,3,undirected
cc_unfccc32,cc_unfccc31,1,undirected
cc_unfccc32,cc_unfccc34,2,undirected
cc_unfccc33,cc_un12,1,undirected
cc_unfccc33,cc_un26,2,undirected
cc_unfccc33,cc_unfccc26,3,undirected
cc_unfccc33,cc_unfccc28,1,undirected
cc_unfccc34,cc_un04,1,undirected
cc_unfccc34,cc_un09,1,undirected
cc_unfccc34,cc_un12,1,undirected
cc_unfccc34,cc_un24,3,undirected
cc_unfccc34,cc_un26,3,undirected
cc_unfccc34,cc_unfccc06,2,undirected
cc_unfccc34,cc_unfccc07,3,undirected
cc_unfccc34,cc_unfccc08,1,undirected
cc_unfccc34,cc_unfccc10,1,undirected
cc_unfccc34,cc_unfccc13,1,undirected
cc_unfccc34,cc_unfccc14,2,undirected
cc_unfccc34,cc_unfccc15,2,undirected
cc_unfccc34,cc_unfccc16,3,undirected
cc_unfccc34,cc_unfccc17,4,undirected
cc_unfccc34,cc_unfccc18,3,undirected
cc_unfccc34,cc_unfccc21,6,undirected
cc_unfccc34,cc_unfccc22,2,undirected
cc_unfccc34,cc_unfccc23,1,undirected
cc_unfccc34,cc_unfccc24,1,undirected
cc_unfccc34,cc_unfccc29,1,undirected
cc_unfccc34,cc_unfccc31,5,undirected
cc_unfccc34,cc_unfccc32,2,undirected
cc_unfccc34,cc_unfccc35,1,undirected
cc_unfccc34,jfk_21,3,undirected
cc_unfccc34,jfk_41,3,undirected
cc_unfccc34,mt_03,1,undirected
cc_unfccc35,cc_unfccc07,2,undirected
cc_unfccc35,cc_unfccc21,5,undirected
cc_unfccc35,cc_unfccc34,1,undirected
jfk_01,cc_unfccc26,1,undirected
jfk_01,jfk_85,2,undirected
jfk_01,wc_10,3,undirected
jfk_02,jfk_03,3,undirected
jfk_02,jfk_11,1,undirected
jfk_02,wc_47,2,undirected
jfk_03,jfk_02,3,undirected
jfk_03,mt_01,3,undirected
jfk_03,wc_14,3,undirected
jfk_03,wc_30,2,undirected
jfk_03,wc_47,1,undirected
jfk_04,jfk_07,1,undirected
jfk_04,jfk_14,6,undirected
jfk_04,wc_10,2,undirected
jfk_05,jfk_07,6,undirected
jfk_05,jfk_08,3,undirected
jfk_05,jfk_09,2,undirected
jfk_05,jfk_23,1,undirected
jfk_05,jfk_59,2,undirected
jfk_05,jfk_60,2,undirected
jfk_06,jfk_10,3,undirected
jfk_06,jfk_11,1,undirected
jfk_06,jfk_24,1,undirected
jfk_06,jfk_26,3,undirected
jfk_06,jfk_30,2,undirected
jfk_06,jfk_85,3,undirected
jfk_06,wc_10,2,undirected
jfk_06,wc_23,2,undirected
jfk_06,wc_29,2,undirected
jfk_06,wc_42,1,undirected
jfk_07,jfk_04,1,undirected
jfk_07,jfk_05,6,undirected
jfk_07,jfk_14,2,undirected
jfk_07,jfk_21,1,undirected
jfk_07,jfk_23,2,undirected
jfk_07,jfk_60,2,undirected
jfk_08,cc_un12,1,undirected
jfk_08,jfk_05,3,undirected
jfk_08,jfk_25,2,undirected
jfk_08,wc_10,2,undirected
jfk_09,jfk_05,2,undirected
jfk_09,jfk_60,3,undirected
jfk_09,wc_39,1,undirected
jfk_10,jfk_06,3,undirected
jfk_10,jfk_85,2,undirected
jfk_10,jfk_97,1,undirected
jfk_100,jfk_94,1,undirected
jfk_100,wc_10,3,undirected
jfk_100,wc_47,1,undirected
jfk_100,wc_49,2,undirected
jfk_11,jfk_02,1,undirected
jfk_11,jfk_06,1,undirected
jfk_11,jfk_17,1,undirected
jfk_11,jfk_26,1,undirected
jfk_11,jfk_77,1,undirected
jfk_11,jfk_85,4,undirected
jfk_11,wc_10,2,undirected
jfk_12,jfk_17,2,undirected
jfk_12,jfk_85,2,undirected
jfk_12,wc_10,3,undirected
jfk_12,wc_30,1,undirected
jfk_13,cc_unfccc26,1,undirected
jfk_13,jfk_45,3,undirected
jfk_13,jfk_85,2,undirected
jfk_14,jfk_04,6,undirected
jfk_14,jfk_07,2,undirected
jfk_14,wc_10,2,undirected
jfk_15,jfk_44,2,undirected
jfk_15,jfk_45,3,undirected
jfk_15,wc_10,1,undirected
jfk_16,mt_08,1,undirected
jfk_16,wc_10,3,undirected
jfk_16,wc_39,2,undirected
jfk_17,jfk_11,1,undirected
jfk_17,jfk_12,2,undirected
jfk_17,jfk_19,3,undirected
jfk_18,jfk_22,3,undirected
jfk_18,jfk_52,1,undirected
jfk_18,wc_47,2,undirected
jfk_19,jfk_17,3,undirected
jfk_19,jfk_25,6,undirected
jfk_19,jfk_77,1,undirected
jfk_19,wc_04,2,undirected
jfk_20,jfk_27,3,undirected
jfk_20,jfk_77,2,undirected
jfk_20,jfk_83,3,undirected
jfk_20,wc_10,1,undirected
jfk_21,cc_unfccc26,2,undirected
jfk_21,cc_unfccc34,3,undirected
jfk_21,jfk_07,1,undirected
jfk_22,jfk_18,3,undirected
jfk_22,jfk_28,3,undirected
jfk_22,jfk_29,3,undirected
jfk_22,jfk_52,2,undirected
jfk_22,jfk_53,2,undirected
jfk_22,jfk_90,1,undirected
jfk_22,wc_44,2,undirected
jfk_22,wc_47,3,undirected
jfk_23,jfk_05,1,undirected
jfk_23,jfk_07,2,undirected
jfk_23,jfk_54,3,undirected
jfk_24,cc_unfccc26,2,undirected
jfk_24,jfk_06,1,undirected
jfk_24,jfk_34,2,undirected
jfk_24,jfk_39,2,undirected
jfk_24,jfk_48,2,undirected
jfk_24,jfk_85,3,undirected
jfk_24,wc_41,1,undirected
jfk_25,jfk_08,2,undirected
jfk_25,jfk_19,6,undirected
jfk_25,jfk_36,2,undirected
jfk_25,jfk_90,1,undirected
jfk_26,jfk_06,3,undirected
jfk_26,jfk_11,1,undirected
jfk_26,wc_10,2,undirected
jfk_27,jfk_20,3,undirected
jfk_27,jfk_85,1,undirected
jfk_27,jfk_99,2,undirected
jfk_28,jfk_22,3,undirected
jfk_28,jfk_52,2,undirected
jfk_28,wc_10,1,undirected
jfk_29,jfk_22,3,undirected
jfk_29,wc_01,1,undirected
jfk_29,wc_47,2,undirected
jfk_30,cc_un22,1,undirected
jfk_30,jfk_06,2,undirected
jfk_30,jfk_60,3,undirected
jfk_31,jfk_60,3,undirected
jfk_31,wc_09,2,undirected
jfk_31,wc_29,1,undirected
jfk_32,jfk_47,1,undirected
jfk_32,jfk_90,3,undirected
jfk_32,jfk_92,2,undirected
jfk_33,jfk_60,3,undirected
jfk_33,jfk_77,1,undirected
jfk_33,wc_39,2,undirected
jfk_34,cc_unfccc26,3,undirected
jfk_34,jfk_24,2,undirected
jfk_34,jfk_85,1,undirected
jfk_35,cc_unfccc26,3,undirected
jfk_35,jfk_77,2,undirected
jfk_35,wc_10,1,undirected
jfk_36,jfk_25,2,undirected
jfk_36,jfk_85,3,undirected
jfk_36,jfk_87,1,undirected
jfk_37,jfk_38,1,undirected
jfk_37,jfk_42,4,undirected
jfk_37,jfk_43,3,undirected
jfk_37,wc_10,2,undirected
jfk_38,jfk_37,1,undirected
jfk_38,jfk_76,2,undirected
jfk_38,jfk_83,3,undirected
jfk_39,cc_unfccc26,1,undirected
jfk_39,jfk_24,2,undirected
jfk_39,jfk_40,4,undirected
jfk_40,cc_un03,2,undirected
jfk_40,cc_unfccc26,3,undirected
jfk_40,jfk_39,4,undirected
jfk_41,cc_unfccc26,2,undirected
jfk_41,cc_unfccc29,1,undirected
jfk_41,cc_unfccc34,3,undirected
jfk_42,jfk_37,4,undirected
jfk_42,jfk_43,6,undirected
jfk_42,wc_10,2,undirected
jfk_43,jfk_37,3,undirected
jfk_43,jfk_42,6,undirected
jfk_43,wc_10,1,undirected
jfk_44,cc_un03,2,undirected
jfk_44,cc_unfccc26,3,undirected
jfk_44,jfk_15,2,undirected
jfk_44,jfk_85,1,undirected
jfk_44,mt_02,2,undirected
jfk_45,jfk_13,3,undirected
jfk_45,jfk_15,3,undirected
jfk_45,jfk_50,2,undirected
jfk_45,jfk_60,3,undirected
jfk_45,jfk_81,2,undirected
jfk_45,jfk_85,2,undirected
jfk_45,wc_10,1,undirected
jfk_46,cc_unfccc19,1,undirected
jfk_46,wc_29,3,undirected
jfk_46,wc_46,2,undirected
jfk_47,jfk_32,1,undirected
jfk_47,jfk_77,2,undirected
jfk_47,jfk_87,1,undirected
jfk_47,jfk_90,3,undirected
jfk_47,jfk_92,1,undirected
jfk_48,cc_un01,1,undirected
jfk_48,cc_unfccc26,3,undirected
jfk_48,jfk_24,2,undirected
jfk_49,jfk_51,3,undirected
jfk_49,wc_17,1,undirected
jfk_49,wc_28,2,undirected
jfk_49,wc_44,3,undirected
jfk_50,cc_unfccc21,1,undirected
jfk_50,cc_unfccc26,3,undirected
jfk_50,jfk_45,2,undirected
jfk_50,mt_03,3,undirected
jfk_50,mt_06,2,undirected
jfk_51,jfk_49,3,undirected
jfk_51,wc_18,1,undirected
jfk_51,wc_30,2,undirected
jfk_52,jfk_18,1,undirected
jfk_52,jfk_22,2,undirected
jfk_52,jfk_28,2,undirected
jfk_52,jfk_53,1,undirected
jfk_52,jfk_72,3,undirected
jfk_52,jfk_90,3,undirected
jfk_52,jfk_92,1,undirected
jfk_53,jfk_22,2,undirected
jfk_53,jfk_52,1,undirected
jfk_53,jfk_90,3,undirected
jfk_54,jfk_23,3,undirected
jfk_54,jfk_74,2,undirected
jfk_54,jfk_77,2,undirected
jfk_54,jfk_82,5,undirected
jfk_54,wc_09,1,undirected
jfk_55,cc_un22,1,undirected
jfk_55,jfk_60,2,undirected
jfk_55,jfk_85,3,undirected
jfk_56,jfk_60,2,undirected
jfk_56,jfk_77,3,undirected
jfk_56,jfk_82,1,undirected
jfk_57,jfk_60,2,undirected
jfk_57,wc_09,1,undirected
jfk_57,wc_10,3,undirected
jfk_58,cc_unfccc26,3,undirected
jfk_58,mt_08,1,undirected
jfk_58,wc_10,2,undirected
jfk_59,jfk_05,2,undirected
jfk_59,jfk_60,2,undirected
jfk_59,wc_10,3,undirected
jfk_60,jfk_05,2,undirected
jfk_60,jfk_07,2,undirected
jfk_60,jfk_09,3,undirected
jfk_60,jfk_30,3,undirected
jfk_60,jfk_31,3,undirected
jfk_60,jfk_33,3,undirected
jfk_60,jfk_45,3,undirected
jfk_60,jfk_55,2,undirected
jfk_60,jfk_56,2,undirected
jfk_60,jfk_57,2,undirected
jfk_60,jfk_59,2,undirected
jfk_60,jfk_62,1,undirected
jfk_60,jfk_85,1,undirected
jfk_60,jfk_95,2,undirected
jfk_60,jfk_98,2,undirected
jfk_60,wc_10,3,undirected
jfk_60,wc_39,2,undirected
jfk_61,jfk_62,3,undirected
jfk_61,jfk_99,2,undirected
jfk_61,wc_09,3,undirected
jfk_61,wc_39,1,undirected
jfk_62,jfk_60,1,undirected
jfk_62,jfk_61,3,undirected
jfk_62,jfk_99,2,undirected
jfk_63,jfk_85,2,undirected
jfk_63,wc_10,3,undirected
jfk_63,wc_39,1,undirected
jfk_64,jfk_66,6,undirected
jfk_64,jfk_68,1,undirected
jfk_64,jfk_69,2,undirected
jfk_65,cc_unfccc21,2,undirected
jfk_65,cc_unfccc26,3,undirected
jfk_65,cc_unfccc31,1,undirected
jfk_66,jfk_64,6,undirected
jfk_66,jfk_67,2,undirected
jfk_66,jfk_68,1,undirected
jfk_66,jfk_88,2,undirected
jfk_67,jfk_66,2,undirected
jfk_67,jfk_68,4,undirected
