"cc_gt01" "cc_gt02" "cc_gt03" "cc_gt04" "cc_gt05" "cc_gt06" "cc_gt07" "cc_gt08" "cc_gt09" "cc_gt10" "cc_gt11" "cc_gt12" "cc_un01" "cc_un02" "cc_un03" "cc_un04" "cc_un05" "cc_un06" "cc_un07" "cc_un08" "cc_un09" "cc_un10" "cc_un11" "cc_un12" "cc_un13" "cc_un14" "cc_un15" "cc_un16" "cc_un17" "cc_un18" "cc_un19" "cc_un20" "cc_un21" "cc_un22" "cc_un23" "cc_un24" "cc_un25" "cc_un26" "cc_un27" "cc_un28" "cc_unfccc01" "cc_unfccc02" "cc_unfccc03" "cc_unfccc04" "cc_unfccc05" "cc_unfccc06" "cc_unfccc07" "cc_unfccc08" "cc_unfccc09" "cc_unfccc10" "cc_unfccc11" "cc_unfccc12" "cc_unfccc13" "cc_unfccc14" "cc_unfccc15" "cc_unfccc16" "cc_unfccc17" "cc_unfccc18" "cc_unfccc19" "cc_unfccc20" "cc_unfccc21" "cc_unfccc22" "cc_unfccc23" "cc_unfccc24" "cc_unfccc25" "cc_unfccc26" "cc_unfccc27" "cc_unfccc28" "cc_unfccc29" "cc_unfccc30" "cc_unfccc31" "cc_unfccc32" "cc_unfccc33" "cc_unfccc34" "cc_unfccc35" "gpt35cc_01" "gpt35cc_02" "gpt35cc_03" "gpt35ccmt_01" "gpt35ccmt_02" "gpt35ccmt_03" "gpt35ccmt_04" "gpt35mt_01" "gpt35mt_02" "gpt35mt_03" "gpt35mt_04" "gpt4cc_01" "gpt4cc_02" "gpt4cc_03" "gpt4ccmt_01" "gpt4ccmt_02" "gpt4ccmt_03" "gpt4ccmt_04" "gpt4mt_01" "gpt4mt_02" "gpt4mt_03" "gpt4mt_04" "mt_01" "mt_02" "mt_03" "mt_04" "mt_05" "mt_06" "mt_07" "mt_08" "mt_09" "mt_10" "mt_11"
"need" 1.92307692307692 0.961538461538462 5 0 0 0 4.95049504950495 2.08333333333333 0 0 1.94174757281553 1.88679245283019 0 0 0 0 3.125 2.08333333333333 0 3 3.09278350515464 4.12371134020619 4 2.08333333333333 2.12765957446809 3.09278350515464 1.03092783505155 0 0 1.04166666666667 2.08333333333333 0 1.05263157894737 3.06122448979592 3.125 0 3.125 3.03030303030303 3.09278350515464 0 2.17391304347826 1.03092783505155 2.04081632653061 2.08333333333333 4.04040404040404 3.125 0 0 0 3 4 0 2 2 0 0 0 0 0 0 0 2 0 0 0 4 1 0 0 0 1 0 0 2.94117647058824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1.02040816326531 1 0 0
"emissions" 1.92307692307692 3.84615384615385 1 0 0 3.15789473684211 2.97029702970297 2.08333333333333 2.04081632653061 0 4.85436893203883 2.83018867924528 2.97029702970297 0 0.970873786407767 0 0 0 4.16666666666667 3 2.06185567010309 0 2 0 4.25531914893617 0 0 0 5.20833333333333 0 0 0 0 3.06122448979592 1.04166666666667 0 0 0 0 0 2.17391304347826 0 0 2.08333333333333 0 3.125 0 0 1.96078431372549 1 0 0 2 5 2 0 1.98019801980198 3.125 1 3 2.04081632653061 1 2.1505376344086 0 2 0 0 3.19148936170213 3 3.06122448979592 0 0 1.98019801980198 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"future" 3.84615384615385 0 4 2 0.980392156862745 2.10526315789474 0.99009900990099 0 0 4.16666666666667 0 0 1.98019801980198 0 0.970873786407767 2.97029702970297 0 0 3.125 0 0 0 0 0 0 0 1.03092783505155 0 4.16666666666667 2.08333333333333 3.125 0 1.05263157894737 0 1.04166666666667 1 0 1.01010101010101 0 0 0 0 0 0 0 1.04166666666667 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 3 5 3 0 3 3 4 2 0 0 0 3.125 4 2 1 0 2 0 3 2 3 2 0 0 0 1.02040816326531 0 0 0 0 3 0 3
"action" 0 0 0 0 0 0 0 0 0 0 0.970873786407767 0 0 0 0 0 0 2.08333333333333 0 0 3.09278350515464 2.06185567010309 3 1.04166666666667 2.12765957446809 3.09278350515464 3.09278350515464 1.96078431372549 0 0 2.08333333333333 1.01010101010101 0 0 3.125 0 4.16666666666667 0 0 0 2.17391304347826 0 0 0 0 0 3 0 0 0 2 0 0 3 0 2 0 0 0 0 0 3 0 4 0 0 3 0 2 0 0 0 2.97029702970297 0.980392156862745 3 3 2 3 3 2 0 0 0 0 0 0 3.125 4 1 3 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"one" 1.92307692307692 3.84615384615385 0 1 0 2.10526315789474 1.98019801980198 1.04166666666667 0 1.04166666666667 1.94174757281553 0 0 0 3.88349514563107 3.96039603960396 0 0 2.08333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.03092783505155 0 0 2.02020202020202 1.04166666666667 0 0 3.92156862745098 1 1 3.15789473684211 2 0 1 3 0 0 0 2 2.04081632653061 0 0 0 0 0 3 0 0 3.06122448979592 1 0 2.97029702970297 0 0 0 0 0 0 3 0 0 0 0 3 2 0 0 0 0 1 0 2 0 2 0 2 4.12371134020619 0 0 3.06122448979592 3 0 0 4.08163265306122 0 0 3
"time" 0.961538461538462 0 3 0 2.94117647058824 2.10526315789474 3.96039603960396 3.125 0 2.08333333333333 0.970873786407767 1.88679245283019 0.99009900990099 0 0.970873786407767 0 3.125 2.08333333333333 2.08333333333333 0 0 0 0 0 1.06382978723404 4.12371134020619 2.06185567010309 0 0 0 1.04166666666667 1.01010101010101 0 2.04081632653061 0 1 0 0 0 0 0 0 1.02040816326531 0 0 0 0 0 0 0 0 4.21052631578947 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 2.04081632653061 0 0 3.96039603960396 0 0 0 0 0 3 2 4 2 0 1 1 0 2.08333333333333 1 2 0 0 4 0 0 3 0 2 3.09278350515464 0 0 0 0 0 1 0 2 0 0
"energy" 0 0 0 0 0 0 0 0 0 0 0 0 1.98019801980198 0 2.9126213592233 0 2.08333333333333 0 1.04166666666667 4 1.03092783505155 0 1 0 0 1.03092783505155 0 0 4.16666666666667 0 0 0 4.21052631578947 2.04081632653061 0 0 0 4.04040404040404 2.06185567010309 0 0 0 0 0 0 0 1 2 2.94117647058824 0 0 0 0 0 0 1 3.96039603960396 0 2 0 3.06122448979592 0 2.1505376344086 3 4 1 0 2.12765957446809 2 0 3 1 0 0 3 0 3 0 0 1 0 0 0 0 0 0 1.04166666666667 1 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"now" 2.88461538461538 1.92307692307692 0 0 1.96078431372549 2.10526315789474 0 3.125 0 0 2.9126213592233 1.88679245283019 0 0 0 0 0 0 3.125 0 0 0 0 0 0 0 0 0 0 2.08333333333333 0 0 0 3.06122448979592 0 0 0 0 1.03092783505155 0 0 4.12371134020619 3.06122448979592 4.16666666666667 2.02020202020202 0 0 0 0 0 0 3.15789473684211 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 2 0 0 1 3 0 1 0 0 0 0 0 1 2 3 0 0 0 0 0 0 0 0 0 0 2.04081632653061 4 3.19148936170213 3 2.04081632653061 0 0 2
"finance" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.99009900990099 0 4.16666666666667 0 4 3.09278350515464 3.09278350515464 2 0 0 3.09278350515464 4.12371134020619 0 0 0 1.04166666666667 1.01010101010101 4.21052631578947 2.04081632653061 3.125 0 3.125 2.02020202020202 0 0 5.43478260869565 0 0 0 4.04040404040404 0 3 0 0 0 0 0 1 2 3 1 0 0 0 0 0 1 4.3010752688172 0 0 0 0 0 0 0 0 4 0 1.96078431372549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"just" 0 1.92307692307692 2 0 1.96078431372549 3.15789473684211 0 0 0 2.08333333333333 3.88349514563107 2.83018867924528 0 0 0 3.96039603960396 2.08333333333333 0 1.04166666666667 1 0 3.09278350515464 0 0 0 0 0 0 0 2.08333333333333 2.08333333333333 0 1.05263157894737 1.02040816326531 2.08333333333333 0 0 2.02020202020202 0 0 0 0 2.04081632653061 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 0 0 0 0 0 0 0 0 2.08333333333333 0 4 0 1 0 0 0 0 0 3 0 3 0 0 1 5.31914893617021 0 2.04081632653061 0 1.02040816326531 0
"new" 0 0 3 0 0 2.10526315789474 2.97029702970297 0 0 0 0 0 0 0 0 0.99009900990099 0 0 0 0 0 0 0 0 0 1.03092783505155 3.09278350515464 2.94117647058824 0 3.125 3.125 0 1.05263157894737 0 4.16666666666667 0 0 0 4.12371134020619 3.125 0 0 0 3.125 0 0 3 0 0.980392156862745 4 0 0 0 0 0 0 0 0 0 2 5.10204081632653 0 0 0 0 2 3 0 0 0 0 0 0 1.96078431372549 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 4.08163265306122 0 0 0
"cop" 0 0 0 0 0 0 0 0 0 0 0 0 0.99009900990099 0 0 2.97029702970297 3.125 1.04166666666667 2.08333333333333 2 0 4.12371134020619 3 0 0 5.15463917525773 3.09278350515464 0 0 0 0 0 1.05263157894737 3.06122448979592 0 0 0 0 0 0 1.08695652173913 2.06185567010309 0 2.08333333333333 0 3.125 0 0 0 0 4 0 0 4 4 0 0 0 4 0 0 2 0 0 1 0 0 0 0 1.02040816326531 0 2 0 3.92156862745098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"crisis" 2.88461538461538 0.961538461538462 0 5 0.980392156862745 5.26315789473684 3.96039603960396 4.16666666666667 0 4.16666666666667 0 0 0 0 0 0 0 0 1.04166666666667 0 0 0 1 3.125 0 0 4.12371134020619 0 0 1.04166666666667 0 0 0 0 0 0 3.125 0 0 0 0 0 2.04081632653061 0 0 0 0 0 0 0 0 0 0 0 0 0 2.97029702970297 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 3 0 3 0 0 0 0 0 0 0 0 2.08333333333333 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"developing" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3.09278350515464 0 2 0 0 3.09278350515464 1.03092783505155 0 0 1.04166666666667 4.16666666666667 2.02020202020202 0 0 3.125 1 0 2.02020202020202 3.09278350515464 0 3.26086956521739 0 0 0 0 0 3 0 0 2 2 0 0 0 4 0 2.97029702970297 0 2 2 0 0 0 0 0 0 0 0 0 4.08163265306122 0 0 0 3.92156862745098 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sustainable" 0 0 0 0 0 0 0 0 0 0 0 0 1.98019801980198 1.03092783505155 2.9126213592233 0 0 0 0 0 4.12371134020619 0 0 0 0 0 0 1.96078431372549 0 0 4.16666666666667 2.02020202020202 0 0 2.08333333333333 0 2.08333333333333 0 0 0 0 0 0 0 0 0 0 0 2.94117647058824 0 0 0 3 0 0 0 2.97029702970297 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2.97029702970297 0 1 3 3 0 1 2 0 1 0 0 0 0 3.125 4 0 1 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fossil" 0 0 0 4 0 1.05263157894737 0 0 0 0 0 2.83018867924528 0 3.09278350515464 2.9126213592233 0.99009900990099 2.08333333333333 0 3.125 0 1.03092783505155 4.12371134020619 1 3.125 4.25531914893617 4.12371134020619 4.12371134020619 0 0 0 0 0 3.15789473684211 0 2.08333333333333 0 0 3.03030303030303 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"planet" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.03092783505155 1.94174757281553 0 0 0 0 0 0 0 1 0 0 0 0 0.980392156862745 0 0 0 0 0 0 0 0 1.04166666666667 0 0 0 0 1.03092783505155 0 0 2.02020202020202 0 0 0 0.980392156862745 0 1 5.26315789473684 0 0 0 0 0 4.16666666666667 0 0 0 0 0 0 0 0 0 2.12765957446809 0 0 0 0 0 0 0 2 0 3 4 3 3 2 0 0 0 0 4.16666666666667 3 4 1 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"today" 0 1.92307692307692 1 0 1.96078431372549 0 0 0 2.04081632653061 4.16666666666667 0 1.88679245283019 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1.04166666666667 0 0 0 1.04166666666667 1 0 0 1.03092783505155 0 0 3.09278350515464 2.04081632653061 0 3.03030303030303 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1.06382978723404 0 0 0 0 0 0 1 0 0 3 0 4 0 3 0 1 1 1 2.08333333333333 0 1 0 0 2 0 0 0 0 0 0 0 0 3.06122448979592 0 0 1 1.02040816326531 0 0 0
"carbon" 0 0 1 0 0 2.10526315789474 3.96039603960396 1.04166666666667 0 0 0 1.88679245283019 0 0 0.970873786407767 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.26086956521739 0 0 0 0 0 0 1 3.92156862745098 0 5 0 0 0 0 2 2.97029702970297 0 0 5 3.06122448979592 2 3.2258064516129 0 0 0 0 0 1 3.06122448979592 0 0 1.98019801980198 0 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"year" 1.92307692307692 1.92307692307692 1 0 0 0 0 0 0 0 0.970873786407767 0 0.99009900990099 3.09278350515464 0 0 0 4.16666666666667 3.125 0 0 0 0 3.125 0 0 0 3.92156862745098 1.04166666666667 0 2.08333333333333 0 0 3.06122448979592 2.08333333333333 0 3.125 0 1.03092783505155 0 0 0 0 1.04166666666667 0 0 0 1 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1.06382978723404 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2.04081632653061 0 0 0
"make" 0 0 3 0 1.96078431372549 0 1.98019801980198 0 0 0 0 0 0 0 0 0 0 3.125 0 0 0 0 0 0 1.06382978723404 0 0 2.94117647058824 0 0 1.04166666666667 0 0 0 2.08333333333333 1 0 0 0 0 0 2.06185567010309 2.04081632653061 0 2.02020202020202 1.04166666666667 0 0 0 0 0 2.10526315789474 3 0 0 1 0 1.04166666666667 0 0 0 0 0 0 0 0 0 1.06382978723404 0 0 0 0 0 0 0 1 0 2 0 4 1 0 0 2 5 0 0 0 0 0 0 0 0 0 0 0 0 2.06185567010309 0 0 0 1 0 0 0 1 0 0
"s" 0 0 0 4 0.980392156862745 0 0 0 0 0 0 1.88679245283019 0.99009900990099 0 2.9126213592233 4.95049504950495 0 0 0 0 0 0 0 0 0 0 0 1.96078431372549 1.04166666666667 0 0 1.01010101010101 0 7.14285714285714 1.04166666666667 0 0 2.02020202020202 1.03092783505155 0 0 0 0 0 0 0 0 0 1.96078431372549 0 0 4.21052631578947 0 0 0 0 0.99009900990099 0 0 0 0 0 1.0752688172043 0 0 0 4 1.06382978723404 0 2.04081632653061 0 0 0.99009900990099 1.96078431372549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.04081632653061 0 0 0 0 0 0 0
"challenge" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.03092783505155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 1 2 2 0 4 4 3 3 0 0 0 0 1.04166666666667 0 3 2 5 4 5 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0
"adaptation" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.125 0 0 0 0 1 0 0 5.15463917525773 4.12371134020619 0 0 0 0 0 0 0 0 0 2.08333333333333 0 0 0 0 0 0 0 2.02020202020202 1.04166666666667 0 1 0 1 0 0 0 0 3 4 0 0 0 0 0 2 0 0 0 0 5 0 5 0 5 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"also" 0 0 0 0 0 1.05263157894737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.06185567010309 4.12371134020619 0 0 0 2.08333333333333 0 0 1.02040816326531 0 0 1.04166666666667 0 0 0 0 0 0 1.04166666666667 0 2.08333333333333 3 0 1.96078431372549 0 1 0 0 0 0 0 2.97029702970297 0 0 3 1.02040816326531 0 0 3 0 3 1 0 0 0 0 0 0 0 0 0 2 1 3 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 0 0 0 0 0 0 0 0 0 0 2.04081632653061 0 0 0
