"cc_gt01" "cc_gt02" "cc_gt03" "cc_gt04" "cc_gt05" "cc_gt06" "cc_gt07" "cc_gt08" "cc_gt09" "cc_gt10" "cc_gt11" "cc_gt12" "cc_un01" "cc_un02" "cc_un03" "cc_un04" "cc_un05" "cc_un06" "cc_un07" "cc_un08" "cc_un09" "cc_un10" "cc_un11" "cc_un12" "cc_un13" "cc_un14" "cc_un15" "cc_un16" "cc_un17" "cc_un18" "cc_un19" "cc_un20" "cc_un21" "cc_un22" "cc_un23" "cc_un24" "cc_un25" "cc_un26" "cc_un27" "cc_un28" "cc_unfccc01" "cc_unfccc02" "cc_unfccc03" "cc_unfccc04" "cc_unfccc05" "cc_unfccc06" "cc_unfccc07" "cc_unfccc08" "cc_unfccc09" "cc_unfccc10" "cc_unfccc11" "cc_unfccc12" "cc_unfccc13" "cc_unfccc14" "cc_unfccc15" "cc_unfccc16" "cc_unfccc17" "cc_unfccc18" "cc_unfccc19" "cc_unfccc20" "cc_unfccc21" "cc_unfccc22" "cc_unfccc23" "cc_unfccc24" "cc_unfccc25" "cc_unfccc26" "cc_unfccc27" "cc_unfccc28" "cc_unfccc29" "cc_unfccc30" "cc_unfccc31" "cc_unfccc32" "cc_unfccc33" "cc_unfccc34" "cc_unfccc35" "gpt35cc_01" "gpt35cc_02" "gpt35cc_03" "gpt35ccwc_01" "gpt35ccwc_02" "gpt35ccwc_03" "gpt35ccwc_04" "gpt35ragwc_01" "gpt35ragwc_02" "gpt35ragwc_03" "gpt35ragwc_04" "gpt35ragwc_05" "gpt35ragwc_06" "gpt35ragwc_07" "gpt35ragwc_08" "gpt35ragwc_09" "gpt35wc_01" "gpt35wc_02" "gpt35wc_03" "gpt35wc_04" "gpt4cc_01" "gpt4cc_02" "gpt4cc_03" "gpt4ccwc_01" "gpt4ccwc_02" "gpt4ccwc_03" "gpt4ccwc_04" "gpt4ragwc_01" "gpt4ragwc_02" "gpt4ragwc_03" "gpt4ragwc_04" "gpt4ragwc_05" "gpt4ragwc_06" "gpt4ragwc_07" "gpt4ragwc_08" "gpt4ragwc_09" "gpt4wc_01" "gpt4wc_02" "gpt4wc_03" "gpt4wc_04" "wc_01" "wc_02" "wc_03" "wc_04" "wc_05" "wc_06" "wc_07" "wc_08" "wc_09" "wc_10" "wc_11" "wc_12" "wc_13" "wc_14" "wc_15" "wc_16" "wc_17" "wc_18" "wc_19" "wc_20" "wc_21" "wc_22" "wc_23" "wc_24" "wc_25" "wc_26" "wc_27" "wc_28" "wc_29" "wc_30" "wc_31" "wc_32" "wc_33" "wc_34" "wc_35" "wc_36" "wc_37" "wc_38" "wc_39" "wc_40" "wc_41" "wc_42" "wc_43" "wc_44" "wc_45" "wc_46" "wc_47" "wc_48" "wc_49" "wc_50"
"global" 0 0 0 0 0 0 0 3.09278350515464 0 0 2.94117647058824 0 4.95049504950495 2.04081632653061 0 2.97029702970297 0 3.09278350515464 1.03092783505155 4 3.09278350515464 3.09278350515464 3.96039603960396 2.06185567010309 2.08333333333333 5.26315789473684 3.125 0 4.12371134020619 5.20833333333333 5.26315789473684 4.95049504950495 0 4.12371134020619 4.12371134020619 0 3.15789473684211 0 4.04040404040404 3.15789473684211 1.08695652173913 0 0 4.16666666666667 2.04081632653061 1.05263157894737 0 4 1 0 2 0 5 5 2 5 0 3.09278350515464 2 4 4.16666666666667 4 0 0 0 2 2 0 4 2.02020202020202 5 2 0 0 1 0 4 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2.08333333333333 4 0 0 0 0 0 2.06185567010309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"upon" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.15789473684211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 2 0 0 1 0 3 0 0 0 0 2 3 0 0 4 5.15463917525773 0 4 0 4.12371134020619 1 2 0 2 0 2 2 3 0 2.10526315789474 0 3 1.04166666666667 4 0 0 3.03030303030303 5 2.02020202020202 0 4 4.08163265306122 4.12371134020619 2 3 4.16666666666667 4.21052631578947 3.06122448979592 4 2 0 3.2258064516129 4 4 2 4.08163265306122 1.96078431372549 4.12371134020619 4 3.125 3.15789473684211 0 0.99009900990099 4 3.06122448979592 0 2.08333333333333 3.92156862745098 0 0 0 3 1.01010101010101 2 3.09278350515464 3 1 0.99009900990099
"people" 4.80769230769231 4.85436893203883 4 4 1.94174757281553 1.02040816326531 3.96039603960396 3.09278350515464 4.12371134020619 3.09278350515464 4.90196078431373 1.92307692307692 0 2.04081632653061 1.96078431372549 0 2.08333333333333 0 0 0 0 0 3.96039603960396 2.06185567010309 0 0 0 1 0 0 3.15789473684211 0 0 3.09278350515464 5.15463917525773 0 5.26315789473684 0 0 4.21052631578947 3.26086956521739 1.04166666666667 2.06185567010309 1.04166666666667 3.06122448979592 0 0 2 0 0 0 0 1 0 0 0 0 3.09278350515464 0 1 1.04166666666667 0 0 3.03030303030303 0 0 0 0 2 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4.21052631578947 2.08333333333333 3 0 0 1 0 0 0 0 0 1 3.06122448979592 0 0 0 0 5.26315789473684 0 1 0 0 0 1 1 2 0 0 1.03092783505155 0 3.125 3.15789473684211 0 0 3 0 0 0 0 0 0 0 0 1.01010101010101 3 3.09278350515464 0 0 0.99009900990099
"countries" 0 3.88349514563107 0 0 0 0 0 0 0 0 4.90196078431373 0 0 0 0 0.99009900990099 0 0 1.03092783505155 5 4.12371134020619 4.12371134020619 4.95049504950495 2.06185567010309 0 4.21052631578947 3.125 1 0 4.16666666666667 5.26315789473684 3.96039603960396 2.04081632653061 3.09278350515464 5.15463917525773 0 4.21052631578947 4.08163265306122 3.03030303030303 1.05263157894737 3.26086956521739 0 0 0 0 0 4 2 0 3 4 0 4 0 5 3 0 3.09278350515464 0 3 0 4 2.12765957446809 0 2 2 0 0 3 2.02020202020202 3 0 0 2.97029702970297 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1.02040816326531 0 0 0 0 0 0 3 2.04081632653061 0 1.03092783505155 0 1.04166666666667 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"future" 2.88461538461538 0.970873786407767 3 2 1.94174757281553 3.06122448979592 1.98019801980198 0 0 3.09278350515464 0 0.961538461538462 2.97029702970297 0 0 1.98019801980198 0 0 2.06185567010309 0 0 0 0 0 0 0 2.08333333333333 0 4.12371134020619 3.125 2.10526315789474 0 0 0 1.03092783505155 1.01010101010101 0 2.04081632653061 0 0 0 0 0 0 0 1.05263157894737 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.06382978723404 0 0 0 1 0 0 2 5 4 4 2 4.04040404040404 4.95049504950495 3 3.125 0 3 2 2 0 4 4 0 0 0 0 0 4.16666666666667 4 2 1 2 3 0 4.12371134020619 3.06122448979592 0 0 3.09278350515464 2 2 2 5 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0.99009900990099
"great" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.12765957446809 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 3 0 0 0 0 3 0 0 2 0 0 0 0 0 2 0 0 0 1.02040816326531 0 0 0 4 0 0 0 0 0 0 0 4.08163265306122 5.26315789473684 4.16666666666667 2 1.04166666666667 5 3 5.26315789473684 4.04040404040404 4 1.01010101010101 4 1 3.06122448979592 3.09278350515464 0 4 2.08333333333333 2.10526315789474 0 3 0 0 0 4 3 4 2.04081632653061 2.94117647058824 3.09278350515464 4 0 2.10526315789474 1.05263157894737 0 2 2.04081632653061 0 3.125 2.94117647058824 0 2.12765957446809 2 2 3.03030303030303 2 3.09278350515464 0 1 4.95049504950495
"need" 0.961538461538462 0 3 0 1.94174757281553 0 4.95049504950495 3.09278350515464 0 0 1.96078431372549 1.92307692307692 0 0 0 0 4.16666666666667 2.06185567010309 0 3 5.15463917525773 4.12371134020619 4.95049504950495 1.03092783505155 2.08333333333333 4.21052631578947 1.04166666666667 0 0 3.125 3.15789473684211 0.99009900990099 0 3.09278350515464 4.12371134020619 0 3.15789473684211 2.04081632653061 3.03030303030303 0 3.26086956521739 0 3.09278350515464 4.16666666666667 4.08163265306122 2.10526315789474 0 0 0 3 3 0 0 1 0 0 0 1.03092783505155 0 0 1.04166666666667 3 0 0 0 3 1 0 0 0 1 0 0 2.97029702970297 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10526315789474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.06185567010309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"war" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.03092783505155 0 1.05263157894737 0 4.04040404040404 3.15789473684211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 0 2 0 0 5.10204081632653 0 0 0 0 4 1 0 0 3 0 0 2 0 0 0 3 0 2.10526315789474 4.08163265306122 4 3 3 1.0752688172043 2 4 3 4.08163265306122 1.96078431372549 4.12371134020619 0 4.16666666666667 0 0 0 4 5.10204081632653 2.08333333333333 5.20833333333333 0 0 0 4 3 1.01010101010101 2 2.06185567010309 0 4 0
"action" 0 0 0 0 0 0 0 0 0 0 0.980392156862745 0 0.99009900990099 0 0 0 0 1.03092783505155 0 0 4.12371134020619 0 2.97029702970297 0 3.125 3.15789473684211 3.125 1 0 0 2.10526315789474 0 0 1.03092783505155 3.09278350515464 0 4.21052631578947 0 0 0 2.17391304347826 0 0 0 0 0 3 0 0 0 2 1.02040816326531 0 3 0 0 0 0 0 0 0 3 0 3.03030303030303 0 0 3 0 3 0 0 0 1.98019801980198 0.99009900990099 5 2 4 2 0 0 0 0 2.08333333333333 5.10204081632653 0 0 0 0 0 3 1 0 0 0 0 3.125 3 1 0 0 2 1 4.12371134020619 3.06122448979592 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.98019801980198
"every" 3.84615384615385 1.94174757281553 0 0 0 0 0 0 0 0 2.94117647058824 0 0 0 0 0 0 2.06185567010309 0 0 0 0 0 0 1.04166666666667 0 0 0 0 0 0 0 0 0 2.06185567010309 1.01010101010101 0 3.06122448979592 1.01010101010101 0 1.08695652173913 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 3.125 2 0 1 3 2 4 0 3.06122448979592 0 0 1.03092783505155 4 0 1 0 0 0 0 0 1.02040816326531 0 0 2 0 2 3 0 3.03030303030303 4 2.02020202020202 0 0 3.06122448979592 0 0 0 0 0 0 0 3 0 2.1505376344086 1 2 2 1.02040816326531 0 0 0 2.08333333333333 1.05263157894737 0 0 2 3.06122448979592 0 1.04166666666667 0 4.12371134020619 0 1 0 0 0 2.06185567010309 0 0 0
